A,C,P,B,L,R,LA
3,1,60,14.7664,853.4,0.62,0
3,1,66,16.7515,150,1,1
3,1,78,18.6584,150.6,1,2
3,1,81,18.961,212.8,0.98,3
3,1,87,19.1473,1374.8,0.34,4
3,1,90,21.64,246.6,0.98,5
3,2,60,12.957,149.8,0.98,6
3,2,66,16.7449,157.6,0.98,7
3,2,78,18.6584,110,1,8
3,2,84,24.9708,110,1,9
3,2,87,19.1945,157.6,0.98,10
3,2,90,28.7918,200.4,1,11
3,3,60,18.704,110.4,1,12
3,3,81,20.598,100.8,1,13
3,3,84,19.9128,160.6,1,14
3,3,87,23.9228,160.4,1,15
3,3,90,26.862,200,1,16
3,4,81,18.8675,121.6,1,17
3,4,84,23.9358,161.4,1,18
3,4,87,32.8473,202,1,19
3,4,90,35.4335,220.2,1,20
3,5,87,35.5083,181.6,1,21
3,5,90,42.7553,220,1,22
3,6,84,27.753,140,1,23
3,6,87,33.1442,180.6,1,24
3,6,90,42.0701,240,1,25
3,7,84,30.0488,170.8,1,26
3,7,87,33.5558,190,1,27
3,7,90,40.4869,260,1,28
3,8,78,23.5632,130.2,1,29
3,8,81,22.1565,170,1,30
3,8,84,31.0615,170,1,31
3,8,90,43.2862,1218,0.46,32
2,1,60,14.2002,155,0.98,33
2,1,66,16.0356,190.8,0.96,34
2,1,78,17.9621,116,1,35
2,1,81,17.9654,110.8,1,36
2,1,87,18.233,131.2,1,37
2,1,90,20.7932,160.8,1,38
2,2,60,12.3225,356.2,0.86,39
2,2,66,16.0681,272.4,0.9,40
2,2,78,17.9361,1692,0.16,41
2,2,84,24.3493,128.8,0.98,42
2,2,87,18.521,321.6,0.88,43
2,2,90,27.6285,736.4,0.68,44
2,3,60,18.0109,227.4,0.92,45
2,3,84,18.9976,110,1,46
2,3,87,23.0206,110,1,47
2,3,90,25.8224,140.6,1,48
2,4,81,18.1549,156.8,0.96,49
2,4,84,23.0727,115.4,1,50
2,4,87,31.7524,214.4,0.96,51
2,4,90,33.4301,1889,0.06,52
2,5,87,34.2434,158.4,0.98,53
2,5,90,41.3627,150.8,1,54
2,6,84,26.8574,100,1,55
2,6,87,32.1395,1476.6,0.28,56
2,6,90,40.4782,162,1,57
2,7,84,29.1467,120,1,58
2,7,87,32.2616,177.6,0.98,59
2,7,90,38.8819,226.2,0.98,60
2,8,75,18.3249,166.4,0.96,61
2,8,78,22.6578,166.4,0.96,62
2,8,81,21.3032,131.6,1,63
2,8,84,30.0512,319.2,0.9,64
2,8,90,41.6609,292.2,0.96,65
1,1,60,7.10045,245,0.9,66
1,1,66,10.8982,401,0.82,67
1,1,78,10.9112,323,0.86,68
1,1,81,9.03672,50,1,69
1,1,90,11.2959,292.8,0.88,70
1,2,66,9.02371,323,0.86,71
1,2,84,10.9502,479,0.78,72
1,2,90,13.5356,147.2,0.96,73
1,3,60,10.8982,869,0.58,74
1,3,84,11.2829,254,0.9,75
1,3,87,9.36614,98.8,0.98,76
1,3,90,13.5063,340.2,0.86,77
1,4,84,9.3759,60,1,78
1,4,87,13.4998,456,0.8,79
1,4,90,15.6906,464,0.8,80
1,5,87,17.4642,924.8,0.56,81
1,5,90,19.9414,281,0.9,82
1,6,84,13.1996,176.4,0.94,83
1,6,87,17.6302,540.8,0.76,84
1,6,90,18.302,442,0.82,85
1,7,87,15.1278,1616,0.2,86
1,8,78,9.35963,176.4,0.94,87
3,1,60,14.8998,262.4,0.94,0
3,1,66,16.771,159.6,1,1
3,1,78,18.6747,150,1,2
3,1,81,18.9805,289.2,0.94,3
3,1,87,18.8577,234.8,0.96,4
3,1,90,21.6595,212.2,1,5
3,2,60,12.9212,111,1,6
3,2,66,16.7807,120,1,7
3,2,78,18.6617,110,1,8
3,2,84,24.9935,112.8,1,9
3,2,87,19.188,120,1,10
3,2,90,28.782,200,1,11
3,3,60,18.6715,110,1,12
3,3,81,20.6207,100.4,1,13
3,3,84,19.9062,197.4,0.98,14
3,3,87,23.9195,160.2,1,15
3,3,90,26.862,200,1,16
3,4,81,18.8707,121.6,1,17
3,4,84,23.9716,235.8,0.96,18
3,4,87,32.8245,237.2,0.98,19
3,4,90,35.4368,255.8,0.98,20
3,5,87,35.7556,327.2,0.92,21
3,5,90,42.7586,220,1,22
3,6,84,27.7465,140,1,23
3,6,87,33.1572,180.6,1,24
3,6,90,41.9107,1014.4,0.56,25
3,7,84,30.1074,207.8,0.98,26
3,7,87,33.5363,190,1,27
3,7,90,39.82,1686.8,0.18,28
3,8,78,23.5502,130.2,1,29
3,8,81,22.1728,170.2,1,30
3,8,84,31.0811,170.6,1,31
3,8,90,43.8295,1728,0.16,32
2,1,60,14.1449,225.4,0.94,33
2,1,66,16.0356,186.8,0.96,34
2,1,78,17.9621,111.2,1,35
2,1,81,17.9816,489.6,0.8,36
2,1,87,18.1809,120.8,1,37
2,1,90,20.9135,199.2,0.98,38
2,2,60,12.3225,168.2,0.96,39
2,2,66,16.0779,235.6,0.92,40
2,2,78,18.0012,226.4,0.92,41
2,2,84,24.2452,1426.4,0.3,42
2,2,87,18.547,324,0.88,43
2,2,90,27.7326,440.6,0.84,44
2,3,60,18.0109,227.6,0.92,45
2,3,84,18.9976,110,1,46
2,3,87,23.0467,412.4,0.84,47
2,3,90,25.8159,140,1,48
2,4,81,18.1484,119,0.98,49
2,4,84,23.0532,189.2,0.96,50
2,4,87,31.7849,214.4,0.96,51
2,4,90,34.2076,153.4,1,52
2,5,87,34.2076,120,1,53
2,5,90,41.3659,187.8,0.98,54
2,6,84,26.8704,100.6,1,55
2,6,87,31.9509,135,1,56
2,6,90,40.4879,162,1,57
2,7,84,29.1402,120,1,58
2,7,87,32.2681,140.8,1,59
2,7,90,38.8917,190,1,60
2,8,75,18.3379,128.2,0.98,61
2,8,78,22.6611,90,1,62
2,8,81,21.3227,132,1,63
2,8,84,30.2334,244,0.94,64
2,8,90,41.6577,292.2,0.96,65
1,1,60,7.00936,557,0.74,66
1,1,66,10.8331,791,0.62,67
1,1,78,10.9177,362,0.84,68
1,1,81,8.94888,401,0.82,69
1,1,90,11.2959,137.6,0.96,70
1,2,66,9.01069,635,0.7,71
1,2,84,10.9567,206,0.92,72
1,2,90,13.5551,70,1,73
1,3,60,10.9177,713,0.66,74
1,3,84,11.2861,758.4,0.64,75
1,3,87,9.3759,98.8,0.98,76
1,3,90,13.5551,301.6,0.88,77
1,4,84,9.3759,98.8,0.98,78
1,4,87,13.516,880.6,0.58,79
1,4,90,15.7362,310.4,0.88,80
1,5,87,17.4838,848,0.6,81
1,5,90,19.9934,90,1,82
1,6,84,12.9524,952.4,0.54,83
1,6,87,17.6887,387.2,0.84,84
1,6,90,18.2272,632,0.72,85
1,7,87,15.7557,579.2,0.74,86
1,8,78,9.3759,60,1,87
3,1,60,15.147,507.6,0.82,0
3,1,66,16.7449,289.2,0.94,1
3,1,78,18.6649,150,1,2
3,1,81,19.0065,289.2,0.94,3
3,1,87,18.8577,234.8,0.96,4
3,1,90,21.64,210.8,1,5
3,2,60,12.9017,110,1,6
3,2,66,16.7515,120,1,7
3,2,78,18.7333,110.4,1,8
3,2,84,24.9545,185.8,0.96,9
3,2,87,19.6304,120,1,10
3,2,90,28.7853,200.2,1,11
3,3,60,18.6649,110.4,1,12
3,3,81,20.5947,100,1,13
3,3,84,19.9355,160,1,14
3,3,87,24.0139,712,0.7,15
3,3,90,26.862,200,1,16
3,4,81,18.874,122,1,17
3,4,84,24.0529,1632,0.2,18
3,4,87,32.8636,201.6,1,19
3,4,90,35.4368,220.4,1,20
3,5,87,35.7458,326.2,0.92,21
3,5,90,42.7553,220,1,22
3,6,84,27.7563,140.2,1,23
3,6,87,33.141,180,1,24
3,6,90,42.2328,1190.4,0.46,25
3,7,84,30.0456,170.8,1,26
3,7,87,33.5526,190,1,27
3,7,90,40.5552,260.4,1,28
3,8,78,23.5958,130,1,29
3,8,81,22.1858,170.2,1,30
3,8,84,31.0941,170,1,31
3,8,90,43.8295,1728,0.16,32
2,1,60,14.2132,309.4,0.9,33
2,1,66,16.0486,187.6,0.96,34
2,1,78,17.9849,224.2,0.94,35
2,1,81,17.858,1131.4,0.46,36
2,1,87,18.1354,120.8,1,37
2,1,90,20.881,271.2,0.94,38
2,2,60,12.3518,93.2,1,39
2,2,66,16.0844,235.2,0.92,40
2,2,78,18.0272,266,0.9,41
2,2,84,24.2679,310.4,0.88,42
2,2,87,18.5665,325.2,0.88,43
2,2,90,27.6448,699.2,0.7,44
2,3,60,18.0109,151.4,0.96,45
2,3,84,19.2123,1357.4,0.34,46
2,3,87,23.1085,375.2,0.86,47
2,3,90,25.8126,140,1,48
2,4,81,18.1484,157,0.96,49
2,4,84,23.0922,117.2,1,50
2,4,87,31.7654,140,1,51
2,4,90,34.2402,193.4,0.98,52
2,5,87,34.1068,732.8,0.68,53
2,5,90,41.3497,187,0.98,54
2,6,84,26.8639,100,1,55
2,6,87,31.9118,170.2,0.98,56
2,6,90,40.4652,198.8,0.98,57
2,7,84,28.932,1361.4,0.34,58
2,7,87,32.2518,177.4,0.98,59
2,7,90,38.895,190,1,60
2,8,75,18.3054,90,1,61
2,8,78,22.6676,1083.6,0.48,62
2,8,81,21.3227,132.4,1,63
2,8,84,30.3115,357.2,0.88,64
2,8,90,41.6772,328.8,0.94,65
1,1,60,7.0484,401,0.82,66
1,1,66,10.8461,557,0.74,67
1,1,78,10.9112,596,0.72,68
1,1,81,8.94888,440,0.8,69
1,1,90,11.2959,60,1,70
1,2,66,9.00419,323,0.86,71
1,2,84,10.9502,206,0.92,72
