A,C,P,B,L,R,LA
3,1,60,14.8477,151.4,1,0
3,1,66,16.7417,150,1,1
3,1,78,18.6715,150,1,2
3,1,81,18.6617,150,1,3
3,1,87,18.8903,163.4,1,4
3,1,90,21.6855,214.6,1,5
3,2,60,12.9342,148.8,0.98,6
3,2,66,16.797,157.8,0.98,7
3,2,78,18.6617,110.2,1,8
3,2,84,24.987,110,1,9
3,2,87,19.201,120.2,1,10
3,2,90,28.7853,200,1,11
3,3,60,18.756,110.4,1,12
3,3,81,20.6305,101.2,1,13
3,3,84,19.9128,160.4,1,14
3,3,87,23.8447,601.8,0.76,15
3,3,90,26.888,200,1,16
3,4,81,18.8577,121.4,1,17
3,4,84,23.9618,1117.6,0.48,18
3,4,87,32.818,201.2,1,19
3,4,90,35.4107,220,1,20
3,5,87,35.4986,181.8,1,21
3,5,90,42.7456,220,1,22
3,6,84,27.74,140,1,23
3,6,87,33.18,180.6,1,24
3,6,90,42.0604,240,1,25
3,7,84,30.0846,170.6,1,26
3,7,87,33.7055,226.6,0.98,27
3,7,90,40.4966,260.4,1,28
3,8,78,23.547,130,1,29
3,8,81,22.1825,170,1,30
3,8,84,31.1169,170.8,1,31
3,8,90,43.4847,300.6,1,32
2,1,60,14.21,122,1,33
2,1,66,16.0324,110,1,34
2,1,78,17.9524,114.8,1,35
2,1,81,18.0532,122.4,1,36
2,1,87,18.1386,121.2,1,37
2,1,90,20.8517,469.6,0.84,38
2,2,60,12.3355,167,0.96,39
2,2,66,16.0551,272.4,0.9,40
2,2,78,18.0565,424.6,0.82,41
2,2,84,24.2777,123.2,0.98,42
2,2,87,18.5828,440.4,0.82,43
2,2,90,27.6676,588.2,0.76,44
2,3,60,18.1768,280.4,0.9,45
2,3,84,19.144,903.8,0.58,46
2,3,87,23.0174,147.8,0.98,47
2,3,90,25.9786,1107.2,0.48,48
2,4,81,18.1289,80,1,49
2,4,84,23.0987,156.2,0.98,50
2,4,87,31.7036,1293.2,0.38,51
2,4,90,34.1979,302,0.92,52
2,5,87,34.2044,270.8,0.92,53
2,5,90,41.3334,225.6,0.96,54
2,6,84,26.8737,100.6,1,55
2,6,87,32.0094,697.8,0.7,56
2,6,90,40.4749,161.6,1,57
2,7,84,29.1467,120,1,58
2,7,87,32.2518,214.6,0.96,59
2,7,90,38.638,737.6,0.7,60
2,8,75,18.3509,92,1,61
2,8,78,22.6709,90.8,1,62
2,8,81,21.4073,132.4,1,63
2,8,84,30.2692,1739,0.14,64
2,8,90,41.7162,261.2,0.98,65
1,1,60,7.08744,557,0.74,66
1,1,66,10.9047,635,0.7,67
1,1,78,10.9567,50,1,68
1,1,81,9.00744,245,0.9,69
1,1,90,11.2959,680.8,0.68,70
1,2,66,9.03021,89,0.98,71
1,2,84,10.9502,440,0.8,72
1,2,90,13.5193,301.6,0.88,73
1,3,60,10.9112,440,0.8,74
1,3,84,11.2926,448,0.8,75
1,3,87,9.36939,603.2,0.72,76
1,3,90,13.2981,1498.2,0.26,77
1,4,84,9.3759,98.8,0.98,78
1,4,87,13.5388,417.4,0.82,79
1,4,90,15.8143,80,1,80
1,5,87,17.5814,771.2,0.64,81
1,5,90,19.9837,357.4,0.86,82
1,6,84,13.1834,331.6,0.86,83
1,6,87,17.6855,310.4,0.88,84
1,6,90,18.3833,366,0.86,85
1,7,87,15.6353,1692.8,0.16,86
1,8,78,8.90744,1883.6,0.06,87
3,1,60,14.8933,150.2,1,0
3,1,66,16.7384,187,0.98,1
3,1,78,18.6584,150,1,2
3,1,81,18.6584,150,1,3
3,1,87,18.861,160,1,4
3,1,90,21.6367,210.8,1,5
3,2,60,12.9049,110,1,6
3,2,66,16.7515,120.6,1,7
3,2,78,18.6649,110.4,1,8
3,2,84,24.948,110,1,9
3,2,87,19.2238,120,1,10
3,2,90,28.7885,200.4,1,11
3,3,60,18.7105,110.8,1,12
3,3,81,20.5947,100,1,13
3,3,84,19.9485,163.4,1,14
3,3,87,23.8447,601.8,0.76,15
3,3,90,26.8815,200.2,1,16
3,4,81,18.861,121.6,1,17
3,4,84,23.9618,1117.6,0.48,18
3,4,87,32.8213,201,1,19
3,4,90,35.4107,220,1,20
3,5,87,35.4628,217.2,0.98,21
3,5,90,42.7488,220,1,22
3,6,84,27.7628,140,1,23
3,6,87,33.1572,216.6,0.98,24
3,6,90,42.0831,240.6,1,25
3,7,84,30.0651,170.6,1,26
3,7,87,33.7022,190,1,27
3,7,90,40.3307,677.8,0.76,28
3,8,78,23.8137,392.2,0.86,29
3,8,81,22.1728,170,1,30
3,8,84,31.1136,171,1,31
3,8,90,43.4652,334.2,0.98,32
2,1,60,14.1124,110,1,33
2,1,66,16.0844,112,1,34
2,1,78,17.9524,112.4,1,35
2,1,81,17.9524,110.4,1,36
2,1,87,18.1549,120,1,37
2,1,90,20.9005,398.4,0.88,38
2,2,60,12.2802,697.6,0.68,39
2,2,66,16.0454,387.6,0.84,40
2,2,78,18.0857,272,0.9,41
2,2,84,24.281,200.4,0.94,42
2,2,87,18.5925,404,0.84,43
2,2,90,27.6903,1518.2,0.26,44
2,3,60,18.1898,319.6,0.88,45
2,3,84,19.144,903.8,0.58,46
2,3,87,23.0206,110.6,1,47
2,3,90,25.9786,1107.2,0.48,48
2,4,81,18.1289,157.2,0.96,49
2,4,84,23.0694,152.6,0.98,50
2,4,87,31.7557,1033.4,0.52,51
2,4,90,34.2272,230,0.96,52
2,5,87,34.1946,270.4,0.92,53
